County,Population
Beaver County,6354
Box Elder County,52097
Cache County,120783
Carbon County,20479
Daggett County,1109
Davis County,336043
Duchesne County,20862
Emery County,10370
Garfield County,5009
Grand County,9516
Iron County,48368
Juab County,10594
Kane County,7131
Millard County,12645
Morgan County,11065
Piute County,1517
Rich County,2311
Salt Lake County,1107314
San Juan County,15772
Sanpete County,28778
Sevier County,20984
Summit County,39633
Tooele County,62952
Uintah County,37928
Utah County,575205
Wasatch County,29161
Washington County,155602
Wayne County,2692
Weber County,243645
