DATE,Unemployment,County
1/1/90,4.6,Beaver County
2/1/90,4.3,Beaver County
3/1/90,5.4,Beaver County
4/1/90,4.2,Beaver County
5/1/90,3.4,Beaver County
6/1/90,3.3,Beaver County
7/1/90,4.2,Beaver County
8/1/90,4,Beaver County
9/1/90,3.8,Beaver County
10/1/90,3.5,Beaver County
11/1/90,4.4,Beaver County
12/1/90,3.8,Beaver County
1/1/91,5,Beaver County
2/1/91,4.9,Beaver County
3/1/91,3.9,Beaver County
4/1/91,4.8,Beaver County
5/1/91,4.5,Beaver County
6/1/91,5.2,Beaver County
7/1/91,3.7,Beaver County
8/1/91,3.2,Beaver County
9/1/91,3.1,Beaver County
10/1/91,4,Beaver County
11/1/91,4.4,Beaver County
12/1/91,4.5,Beaver County
1/1/92,4.6,Beaver County
2/1/92,5.7,Beaver County
3/1/92,6.3,Beaver County
4/1/92,5.8,Beaver County
5/1/92,5.4,Beaver County
6/1/92,5.7,Beaver County
7/1/92,5.7,Beaver County
8/1/92,4.1,Beaver County
9/1/92,3.6,Beaver County
10/1/92,3.8,Beaver County
11/1/92,4.6,Beaver County
12/1/92,4.3,Beaver County
1/1/93,4.7,Beaver County
2/1/93,5.1,Beaver County
3/1/93,5.4,Beaver County
4/1/93,5,Beaver County
5/1/93,4.4,Beaver County
6/1/93,5.6,Beaver County
7/1/93,5.2,Beaver County
8/1/93,4.6,Beaver County
9/1/93,4.3,Beaver County
10/1/93,3.7,Beaver County
11/1/93,4,Beaver County
12/1/93,4.7,Beaver County
1/1/94,4.9,Beaver County
2/1/94,4.4,Beaver County
3/1/94,5.1,Beaver County
4/1/94,3.8,Beaver County
5/1/94,4.1,Beaver County
6/1/94,4.1,Beaver County
7/1/94,4.3,Beaver County
8/1/94,3.7,Beaver County
9/1/94,2.7,Beaver County
10/1/94,3.4,Beaver County
11/1/94,3.3,Beaver County
12/1/94,3.2,Beaver County
1/1/95,4.3,Beaver County
2/1/95,3.4,Beaver County
3/1/95,3.3,Beaver County
4/1/95,3.5,Beaver County
5/1/95,3.3,Beaver County
6/1/95,4.1,Beaver County
7/1/95,4.1,Beaver County
8/1/95,3.7,Beaver County
9/1/95,3.1,Beaver County
10/1/95,4.7,Beaver County
11/1/95,5.3,Beaver County
12/1/95,5.2,Beaver County
1/1/96,5.9,Beaver County
2/1/96,5,Beaver County
3/1/96,4.7,Beaver County
4/1/96,5.2,Beaver County
5/1/96,4.8,Beaver County
6/1/96,5.1,Beaver County
7/1/96,5.4,Beaver County
8/1/96,5.6,Beaver County
9/1/96,4.7,Beaver County
10/1/96,5.4,Beaver County
11/1/96,5.5,Beaver County
12/1/96,5.2,Beaver County
1/1/97,6.3,Beaver County
2/1/97,6.3,Beaver County
3/1/97,5.3,Beaver County
4/1/97,4.4,Beaver County
5/1/97,4.2,Beaver County
6/1/97,4.4,Beaver County
7/1/97,4.7,Beaver County
8/1/97,7,Beaver County
9/1/97,6.2,Beaver County
10/1/97,3.2,Beaver County
11/1/97,2.8,Beaver County
12/1/97,2.8,Beaver County
1/1/98,4.1,Beaver County
2/1/98,4.8,Beaver County
3/1/98,4.8,Beaver County
4/1/98,5.7,Beaver County
5/1/98,5.4,Beaver County
6/1/98,6,Beaver County
7/1/98,5.3,Beaver County
8/1/98,4.7,Beaver County
9/1/98,4.5,Beaver County
10/1/98,4,Beaver County
11/1/98,3.6,Beaver County
12/1/98,4,Beaver County
1/1/99,3.5,Beaver County
2/1/99,3.7,Beaver County
3/1/99,3.6,Beaver County
4/1/99,4,Beaver County
5/1/99,3.6,Beaver County
6/1/99,3.9,Beaver County
7/1/99,3.6,Beaver County
8/1/99,4,Beaver County
9/1/99,3.7,Beaver County
10/1/99,3.8,Beaver County
11/1/99,3.4,Beaver County
12/1/99,2.9,Beaver County
1/1/00,3.3,Beaver County
2/1/00,3.5,Beaver County
3/1/00,3.4,Beaver County
4/1/00,3.3,Beaver County
5/1/00,3.7,Beaver County
6/1/00,3.9,Beaver County
7/1/00,3.7,Beaver County
8/1/00,3.6,Beaver County
9/1/00,3.2,Beaver County
10/1/00,3.4,Beaver County
11/1/00,3.2,Beaver County
12/1/00,3.1,Beaver County
1/1/01,4.1,Beaver County
2/1/01,3.9,Beaver County
3/1/01,4.1,Beaver County
4/1/01,4,Beaver County
5/1/01,3.8,Beaver County
6/1/01,4.4,Beaver County
7/1/01,4.4,Beaver County
8/1/01,3.9,Beaver County
9/1/01,3.5,Beaver County
10/1/01,3.5,Beaver County
11/1/01,3.5,Beaver County
12/1/01,3.5,Beaver County
1/1/02,4.1,Beaver County
2/1/02,4.6,Beaver County
3/1/02,4.7,Beaver County
4/1/02,4.7,Beaver County
5/1/02,4.6,Beaver County
6/1/02,4.9,Beaver County
7/1/02,5,Beaver County
8/1/02,4.7,Beaver County
9/1/02,4.6,Beaver County
10/1/02,4.3,Beaver County
11/1/02,4.9,Beaver County
12/1/02,4.8,Beaver County
1/1/03,5.5,Beaver County
2/1/03,5.8,Beaver County
3/1/03,5.8,Beaver County
4/1/03,5.5,Beaver County
5/1/03,5.2,Beaver County
6/1/03,5,Beaver County
7/1/03,5.1,Beaver County
8/1/03,5.2,Beaver County
9/1/03,4.8,Beaver County
10/1/03,4.7,Beaver County
11/1/03,5.1,Beaver County
