County ,Fips,name
Beaver County,49001,"utah,beaver"
Box Elder County,49003,"utah,box elder"
Cache County,49005,"utah,cache"
Carbon County,49007,"utah,carbon"
Daggett County,49009,"utah,daggett"
Davis County,49011,"utah,davis"
Duchesne County,49013,"utah,duchesne"
Emery County,49015,"utah,emery"
Garfield County,49017,"utah,garfield"
Grand County,49019,"utah,grand"
Iron County,49021,"utah,iron"
Juab County,49023,"utah,juab"
Kane County,49025,"utah,kane"
Millard County,49027,"utah,millard"
Morgan County,49029,"utah,morgan"
Piute County,49031,"utah,piute"
Rich County,49033,"utah,rich"
Salt Lake County,49035,"utah,salt lake"
San Juan County,49037,"utah,san juan"
Sanpete County,49039,"utah,sanpete"
Sevier County,49041,"utah,sevier"
Summit County,49043,"utah,summit"
Tooele County,49045,"utah,tooele"
Uintah County,49047,"utah,uintah"
Utah County,49049,"utah,utah"
Wasatch County,49051,"utah,wasatch"
Washington County,49053,"utah,washington"
Wayne County,49055,"utah,wayne"
Weber County,49057,"utah,weber"
